code,ts_code,name,source,effective_date,fetched_at
600905,600905.SH,三峡能源,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600918,600918.SH,中泰证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600919,600919.SH,江苏银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600926,600926.SH,杭州银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600930,600930.SH,华电新能,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600938,600938.SH,中国海油,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600941,600941.SH,中国移动,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600958,600958.SH,东方证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600989,600989.SH,宝丰能源,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600999,600999.SH,招商证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601006,601006.SH,大秦铁路,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601009,601009.SH,南京银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601012,601012.SH,隆基绿能,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601018,601018.SH,宁波港,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601021,601021.SH,春秋航空,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601058,601058.SH,赛轮轮胎,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601059,601059.SH,信达证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601066,601066.SH,中信建投,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601077,601077.SH,渝农商行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601088,601088.SH,中国神华,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601100,601100.SH,恒立液压,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601111,601111.SH,中国国航,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601117,601117.SH,中国化学,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601127,601127.SH,赛力斯,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601136,601136.SH,首创证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601138,601138.SH,工业富联,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601166,601166.SH,兴业银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601169,601169.SH,北京银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601186,601186.SH,中国铁建,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601211,601211.SH,国泰海通,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601225,601225.SH,陕西煤业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601229,601229.SH,上海银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601238,601238.SH,广汽集团,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601288,601288.SH,农业银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601318,601318.SH,中国平安,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601319,601319.SH,中国人保,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601328,601328.SH,交通银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601336,601336.SH,新华保险,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601360,601360.SH,三六零,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601377,601377.SH,兴业证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601390,601390.SH,中国中铁,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601398,601398.SH,工商银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601456,601456.SH,国联民生,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601600,601600.SH,中国铝业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601601,601601.SH,中国太保,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601607,601607.SH,上海医药,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601618,601618.SH,中国中冶,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601628,601628.SH,中国人寿,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601633,601633.SH,长城汽车,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601658,601658.SH,邮储银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601668,601668.SH,中国建筑,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601669,601669.SH,中国电建,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601688,601688.SH,华泰证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601689,601689.SH,拓普集团,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601698,601698.SH,中国卫通,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601727,601727.SH,上海电气,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601728,601728.SH,中国电信,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
601766,601766.SH,中国中车,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
